20.51,946.29,622.19,42.447960,1.142564,36.7,246.8,9:40:22,        
20.65,946.06,624.16,42.447783,1.140923,37.9,272.3,9:40:29,.450592,
20.74,946.01,624.65,42.447795,1.140692,36.9,275.1,9:40:30,.450236,
20.86,946.21,622.82,42.447802,1.137998,37.5,262.9,9:40:42,.449878,
21.01,946.63,619.20,42.447416,1.136497,35.1,238.1,9:40:49,.449844,
21.12,947.14,614.70,42.446742,1.135651,23.7,206.7,9:40:56,.449576,
21.18,947.59,610.71,42.446190,1.135437,15.5,184.9,9:41:3,2.448663,
21.24,947.96,607.46,42.445685,1.135418,16.4,182.6,9:41:9,2.447960,
21.30,948.11,606.17,42.445010,1.135407,20.4,182.6,9:41:16,.447783,
21.35,948.16,605.70,42.444335,1.135393,21.0,175.4,9:41:23,.447795,
21.39,948.15,605.80,42.443675,1.135232,22.7,205.6,9:41:30,.447802,
21.43,948.19,605.51,42.443017,1.134808,23.5,205.1,9:41:37,.447416,
21.47,948.13,606.00,42.442418,1.134402,24.1,205.0,9:41:43,.446742,
21.53,948.14,605.95,42.441632,1.133846,30.4,208.2,9:41:50,.446190,
21.60,948.29,604.63,42.440661,1.133193,36.9,206.9,9:41:57,.445685,
21.70,948.51,602.63,42.439519,1.132417,41.0,206.8,9:42:4,2.445010,
21.88,948.69,601.08,42.439348,1.132300,41.5,206.8,9:42:5,2.444335,
22.09,948.81,600.07,42.437259,1.130877,41.7,205.8,9:42:17,.443675,
22.36,948.90,599.26,42.435967,1.130557,41.6,175.2,9:42:24,.443017,
22.66,948.77,600.43,42.434708,1.131150,41.2,156.3,9:42:31,.442418,
23.01,948.46,603.13,42.433591,1.132080,38.8,132.6,9:42:38,.441632,
23.32,948.15,605.80,42.432788,1.132948,37.6,131.2,9:42:44,.440661,
23.57,948.05,606.71,42.431505,1.132835,43.3,193.8,9:42:51,.439519,
23.82,948.19,605.49,42.430172,1.132426,41.0,204.4,9:42:58,.439348,
24.04,948.48,602.95,42.429131,1.131285,38.8,219.0,9:43:5,2.437259,
24.26,948.79,600.21,42.427983,1.130759,38.2,216.0,9:43:12,.435967,
24.52,948.93,598.94,42.426919,1.131311,43.2,148.3,9:43:18,.434708,
24.73,949.02,598.18,42.425713,1.132189,41.9,169.8,9:43:25,.433591,
24.93,949.15,597.07,42.424358,1.132125,41.7,170.1,9:43:32,.432788,
25.20,949.31,595.65,42.423060,1.132841,44.7,158.0,9:43:39,.431505,
25.44,949.34,595.39,42.421657,1.133454,46.4,166.9,9:43:46,.430172,
25.68,949.39,594.92,42.420365,1.133491,45.2,189.3,9:43:52,.429131,
25.90,949.52,593.78,42.419026,1.132762,44.0,203.7,9:43:59,.427983,
26.08,949.74,591.87,42.417908,1.132487,26.3,185.4,9:44:6,2.426919,
26.13,949.84,590.96,42.417422,1.132193,23.5,192.9,9:44:12,.425713,
26.14,949.95,590.04,42.416737,1.132195,23.4,187.3,9:44:19,.424358,
26.21,950.17,588.13,42.415925,1.132112,26.1,179.5,9:44:26,.423060,
26.33,950.56,584.73,42.415061,1.132297,27.2,162.1,9:44:33,.421657,
26.44,951.02,580.68,42.414943,1.132349,26.9,161.8,9:44:34,.420365,
26.51,951.33,577.91,42.413590,1.132485,22.8,195.3,9:44:46,.419026,
26.60,951.55,576.03,42.412904,1.132247,20.2,195.6,9:44:53,.417908,
26.66,951.71,574.64,42.412374,1.132017,15.0,204.3,9:45:0,2.417422,
26.66,951.82,573.70,42.412009,1.131660,13.5,224.5,9:45:7,2.416737,
26.64,951.90,573.00,42.411720,1.131196,12.7,227.7,9:45:14,.415925,
26.63,951.95,572.56,42.411485,1.130719,16.1,234.1,9:45:20,.415061,
26.56,952.02,571.94,42.411172,1.130131,16.9,234.6,9:45:27,.414943,
